2018_rank,name,2018_net_worth,age,2018_source,2018_country,2018_industry,founder,some_wealth_inheritance,major_wealth_inheritance,ethnicity,misc
838,mohed altrad,2.7,71,scaffolding,"cement mixers""",france,,,,,
838,carlos ardila lülle,2.7,89,soft drinks,"diversified""",colombia,,,,,
838,riley bechtel,2.7,67,engineering,"construction""",united states,construction,no,yes,yes,white
838,stephen bechtel,"jr""",2.7,94,"engineering, construction",united states,construction,no,yes,yes,white
838,rainer blickle,2.7,72,auto parts,germany,,,,,,
838,andrew & peggy cherng,2.7,-,restaurants,united states,restaurants,yes,no,no,asian,
838,william conway,"jr""",2.7,69,private equity,united states,investment,yes,?,no,white
838,smita crishna-godrej,2.7,68,consumer goods,india,,,,,,
838,daniel d'aniello,2.7,72,private equity,united states,investment,yes,?,no,white,
838,pavel durov,2.7,34,messaging app,russia,,,,,,
838,feng hailiang,2.7,58,copper,"education""",china,,,,,
838,piero ferrari,2.7,74,automobiles,italy,,,,,,
838,gerald ford,2.7,74,banking,united states,finance,no,?,no,white,
838,alexander frolov,2.7,55,mining,"steel""",russia,,,,,
838,adi godrej,2.7,77,consumer goods,india,,,,,,
838,jamshyd godrej,2.7,70,consumer goods,india,,,,,,
838,nadir godrej,2.7,68,consumer goods,india,,,,,,
838,mitchell goldhar,2.7,58,real estate,canada,,,,,,
838,otto happel,2.7,71,engineering,germany,,,,,,
838,jimmy haslam,2.7,65,gas stations,"retail""",united states,retail,no,yes,no,white
838,john henry,2.7,69,sports,united states,investment,no,yes,no,white,
838,james irsay,2.7,60,indianapolis colts,united states,,,,,,
838,spiro latsis,2.7,72,banking,"shipping""",greece,,,,,
838,rishad naoroji,2.7,67,consumer goods,india,,,,,,
838,park yeon-cha,2.7,73,sneakers,south korea,,,,,,
838,qi shi,2.7,49,financial information,china,,,,,,
838,jeff rothschild,2.7,64,facebook,united states,,,,,,
838,david rubenstein,2.7,69,private equity,united states,,,,,,
838,phil ruffin,2.7,84,casinos,"real estate""",united states,,,,,
838,richard sands,2.7,68,liquor,united states,,,,,,
838,robert sands,2.7,61,liquor,united states,,,,,,
838,e. joe shoen,2.7,69,u-haul,united states,,,,,,
838,eric smidt,2.7,59,hardware stores,united states,,,,,,
838,zygmunt solorz-zak,2.7,62,tv broadcasting,poland,,,,,,
838,andrew tan,2.7,66,diversified,philippines,,,,,,
838,vincent viola,2.7,63,electronic trading,united states,,,,,,
838,wu zhigang,2.7,84,bakery chain,china,,,,,,
838,micree zhan,2.7,40,cryptocurrency mining chips,china,,,,,,
838,zhang wenzhong,2.7,57,supermarkets,china,,,,,,
877,juan abello,2.6,77,investments,spain,,,,,,
877,giuliana benetton,2.6,82,fashion retail,"investments""",italy,,,,,
877,luciano benetton,2.6,84,fashion retail,"investments""",italy,,,,,
877,choo chong ngen,2.6,66,hotels,singapore,,,,,,
877,chung eui-sun,2.6,48,logistics,south korea,,,,,,
877,gustavo denegri,2.6,83,biotech,italy,,,,,,
877,ennio doris,2.6,79,financial services,italy,,,,,,
877,john dorrance,"iii.""",2.6,75,campbell soup,ireland,,,,,
877,charles edelstenne,2.6,81,aviation,france,,,,,,
877,alfredo egydio arruda villela filho,2.6,49,banking,brazil,,,,,,
877,doris fisher,2.6,87,gap,united states,,,,,,
877,john fisher,2.6,58,gap,united states,,,,,,
877,fu liquan,2.6,51,surveillance equipment,china,,,,,,
877,noam gottesman,2.6,58,hedge funds,united states,,,,,,
877,michael hintze,2.6,65,investment,australia,,,,,,
877,randal kirk,2.6,65,pharmaceuticals,united states,,,,,,
877,kurt krieger,2.6,71,furniture retailing,germany,,,,,,
877,hans langer,2.6,67,3d printing,germany,,,,,,
877,li liufa,2.6,62,steel,"diversified""",china,,,,,
877,aloke lohia,2.6,60,petrochemicals,india,,,,,,
877,melissa ma,2.6,49,internet search,china,,,,,,
877,or wai sheun,2.6,68,real estate,hong kong,,,,,,
877,ou zongrong,2.6,55,real estate,china,,,,,,
877,sean parker,2.6,39,facebook,united states,,,,,,
877,jorge perez,2.6,69,real estate,united states,,,,,,
877,john pritzker,2.6,65,hotels,"investments""",united states,,,,,
877,penny pritzker,2.6,60,hotels,"investments""",united states,,,,,
877,horst julius pudwill,2.6,74,manufacturing,germany,,,,,,
877,arkady rotenberg,2.6,67,construction,pipes,"banking""",russia,,,,
877,t. denny sanford,2.6,83,banking,"credit cards""",united states,,,,,
877,vijay shekhar sharma,2.6,41,financial technology,india,,,,,,
877,lawrence stroll,2.6,60,fashion investments,canada,,,,,,
877,sun shoukuan,2.6,69,metals,"coal""",china,,,,,
877,wang wenjing,2.6,54,business software,china,,,,,,
877,ty warner,2.6,74,real estate,"plush toys""",united states,,,,,
877,jerry yang,2.6,50,yahoo,united states,,,,,,
877,ye chenghai,2.6,75,pharmaceuticals,hong kong,,,,,,
877,samuel yin,2.6,68,retail,taiwan,,,,,,
877,zuo hui,2.6,48,real estate services,china,,,,,,
916,somphote ahunai,2.5,52,energy,thailand,,,,,,
916,abdulla al futtaim,2.5,-,auto dealers,"investments""",united arab emirates,,,,,
916,george argyros,2.5,82,real estate,"investments""",united states,,,,,
916,john arrillaga,2.5,82,real estate,united states,,,,,,
916,bill austin,2.5,77,hearing aids,united states,,,,,,
916,eva maria bucher-haefner,2.5,62,software,"investments""",switzerland,,,,,
916,francesco gaetano caltagirone,2.5,76,cement,"diversified""",italy,,,,,
916,subhash chandra,2.5,68,media,india,,,,,,
916,jason chang,2.5,75,electronics,singapore,,,,,,
916,john paul dejoria,2.5,75,hair products,"tequila""",united states,,,,,
916,philippe foriel-destezet,2.5,83,employment agency,france,,,,,,
916,jayme garfinkel,2.5,73,insurance,brazil,,,,,,
916,joseph grendys,2.5,57,poultry processing,united states,,,,,,
916,ji qi,2.5,52,hotels,"motels""",china,,,,,
916,adam kwok,2.5,36,real estate,hong kong,,,,,,
916,jonathan kwok,2.5,30,real estate,hong kong,,,,,,
916,thomas kwok,2.5,67,real estate,hong kong,,,,,,
916,aerin lauder,2.5,49,cosmetics,united states,cosmetics,no,yes,yes,white,
916,maritsa lazari,2.5,74,real estate,united kingdom,,,,,,
916,eric lefkofsky,2.5,49,groupon,united states,,,,,,
916,li zhongchu,2.5,55,software,china,,,,,,
916,liang xinjun,2.5,51,conglomerate,china,,,,,,
916,peter lim,2.5,66,investments,singapore,,,,,,
916,alexander mamut,2.5,59,investments,russia,,,,,,
916,sergio mantegazza,2.5,91,travel,switzerland,,,,,,
916,joao roberto marinho,2.5,65,media,brazil,,,,,,
916,jose roberto marinho,2.5,63,media,brazil,,,,,,
916,roberto irineu marinho,2.5,71,media,brazil,,,,,,
916,strive masiyiwa,2.5,58,telecom,zimbabwe,,,,,,
916,hans melchers,2.5,81,chemicals,"investments""",netherlands,,,,,
916,najib mikati,2.5,63,telecom,lebanon,,,,,,
916,taha mikati,2.5,74,telecom,lebanon,,,,,,
916,pan weiming,2.5,55,real estate,china,,,,,,
916,bob parsons,2.5,68,web hosting,united states,,,,,,
916,renzo rosso,2.5,63,fashion,italy,,,,,,
916,helmut sohmen,2.5,79,shipping,austria,,,,,,
916,warren stephens,2.5,62,investment banking,united states,,,,,,
916,alexander svetakov,2.5,51,real estate,russia,,,,,,
916,peter thiel,2.5,51,facebook,"palantir""",united states,,,,,
916,daniel tsai,2.5,63,finance,taiwan,,,,,,
916,peter unger,2.5,74,auto repair,germany,,,,,,
916,sunil vaswani,2.5,56,diversified,united kingdom,,,,,,
916,oprah winfrey,2.5,65,tv shows,united states,,,,,black,
916,wu shaoxun,2.5,63,wine,china,,,,,,
916,takao yasuda,2.5,70,retail,japan,,,,,,
916,denise york,2.5,68,san francisco 49ers,united states,,,,,,
962,aneel bhusri,2.4,53,business software,united states,,,,,,
962,norman braman,2.4,86,art,"car dealerships""",united states,,,,,
962,otto philipp braun,2.4,41,medical technology,germany,,,,,,
962,chuck bundrant,2.4,77,fishing,united states,,,,,,
962,cai dongchen,2.4,66,pharmaceuticals,china,,,,,,
962,john caudwell,2.4,66,mobile phones,united kingdom,,,,,,
962,cheng cheung ling,2.4,55,pharmaceuticals,china,,,,,,
962,jean coutu,2.4,92,drugstores,canada,,,,,,
962,ray davis,2.4,77,pipelines,united states,,,,,,
962,ana lucia de mattos barretto villela,2.4,45,banking,brazil,,,,,,
962,marcel erni,2.4,54,private equity,switzerland,,,,,,
962,kenneth feld,2.4,70,live entertainment,united states,,,,,,
962,alfred gantner,2.4,51,private equity,switzerland,,,,,,
962,philippe ginestet,2.4,65,retail stores,france,,,,,,
962,torstein hagen,2.4,76,cruises,norway,,,,,,
962,ji changqun,2.4,51,real estate,china,,,,,,
962,ke zunhong,2.4,65,pharmaceuticals,china,,,,,,
962,kuan kam hon,2.4,71,synthetic gloves,malaysia,,,,,,
962,kuok khoon hong,2.4,69,palm oil,singapore,,,,,,
962,louis le duff,2.4,72,bakeries,france,,,,,,
962,low tuck kwong,2.4,71,coal,indonesia,,,,,,
962,alexander machkevich,2.4,65,mining,"metals""",israel,,,,,
962,stephen mandel,"jr""",2.4,63,hedge funds,united states,,,,,
962,c. dean metropoulos,2.4,73,investments,united states,,,,,,
962,robert miller,2.4,74,electronics components,canada,,,,,,
962,patrice motsepe,2.4,57,mining,south africa,,,,,,
962,n.r. narayana murthy,2.4,72,software services,india,,,,,,
962,maja oeri,2.4,64,pharmaceuticals,switzerland,,,,,,
962,tomas olivo lopez,2.4,45,shopping centers,spain,,,,,,
962,chuchat & daonapa petaumpai,2.4,66,motorcycle loans,thailand,,,,,,
962,hussain sajwani,2.4,66,real estate,united arab emirates,,,,,,
962,song zuowen,2.4,72,aluminum,"diversified""",china,,,,,
962,mark stevens,2.4,59,venture capital,united states,,,,,,
962,pat stryker,2.4,63,medical equipment,united states,,,,,,
962,hans sy,2.4,63,diversified,philippines,,,,,,
962,herbert sy,2.4,62,diversified,philippines,,,,,,
962,sunny varkey,2.4,62,education,india,,,,,,
962,jitendra virwani,2.4,53,real estate,india,,,,,,
962,david walentas,2.4,80,real estate,united states,,,,,,
962,lang walker,2.4,74,real estate,australia,,,,,,
962,herbert wertheim,2.4,80,investments,united states,,,,,,
962,richard white,2.4,64,software,australia,,,,,,
962,urs wietlisbach,2.4,57,private equity,switzerland,,,,,,
962,xu chuanhua,2.4,84,chemicals,"logistics""",china,,,,,
962,yeung kin-man,2.4,55,electronics,hong kong,,,,,,
962,anita zucker,2.4,67,chemicals,united states,,,,,,
1008,andrey andreev,2.3,45,online dating,united kingdom,,,,,,
1008,lee bass,2.3,63,oil,"investments""",united states,,,,,
1008,koos bekker,2.3,66,media,"investments""",south africa,,,,,
1008,george bishop,2.3,81,oil & gas,united states,,,,,,
1008,charles bronfman,2.3,88,liquor,canada,,,,,,
1008,vivek chand burman,2.3,82,consumer goods,india,,,,,,
1008,bennett dorrance,2.3,73,campbell soup,united states,,,,,,
1008,isabel dos santos,2.3,46,investments,angola,,,,,,
1008,walter faria,2.3,64,beer,brazil,,,,,,
1008,carlo fidani,2.3,64,real estate,canada,,,,,,
1008,fiona geminder,2.3,54,manufacturing,australia,,,,,,
1008,david gottesman,2.3,93,investments,united states,,,,,,
1008,stein erik hagen,2.3,62,consumer goods,norway,,,,,,
1008,christian haub,2.3,54,retail,germany,,,,,,
1008,lawrence ho,2.3,42,casinos,hong kong,,,,,,
1008,drew houston,2.3,36,cloud storage service,united states,,,,,,
1008,hui lin chit,2.3,66,hygiene products,china,,,,,,
1008,alijan ibragimov,2.3,65,mining,"metals""",kazakhstan,,,,,
1008,brad kelley,2.3,62,tobacco,united states,,,,,,
1008,alicia koplowitz,2.3,65,construction,"investments""",spain,,,,,
1008,lam wai ying,2.3,-,smartphone screens,hong kong,,,,,,
1008,li gaiteng,2.3,47,hair dryers,china,,,,,,
1008,vincent lo,2.3,70,real estate,hong kong,,,,,,
1008,mohamed mansour,2.3,71,diversified,egypt,,,,,,
1008,harsh mariwala,2.3,68,consumer goods,india,,,,,,
1008,drayton mclane,"jr""",2.3,82,"walmart, logistics",united states,retail,,,,
1008,vadim moshkovich,2.3,52,agriculture,"land""",russia,,,,,
1008,nguyen thi phuong thao,2.3,49,airlines,vietnam,,,,,,
1008,h. ross perot,"jr""",2.3,60,real estate,united states,,,,,
1008,candido pinheiro koren de lima,2.3,72,hospitals,"health insurance""",brazil,,,,,
1008,daniel pritzker,2.3,59,hotels,"investments""",united states,,,,,
1008,rajan raheja,2.3,65,diversified,india,,,,,,
1008,stewart rahr,2.3,73,drug distribution,united states,,,,,,
1008,p.p. reddy,2.3,61,infrastructure,india,,,,,,
1008,mochtar riady,2.3,90,diversified,indonesia,,,,,,
1008,stephan schmidheiny,2.3,71,investments,switzerland,,,,,,
1008,erik selin,2.3,52,real estate,sweden,,,,,,
1008,shin chang-jae,2.3,65,insurance,south korea,,,,,,
1008,peter spuhler,2.3,59,train cars,switzerland,,,,,,
1008,sun guangxin,2.3,56,diversified,china,,,,,,
1008,sze man bok,2.3,69,hygiene products,china,,,,,,
1008,tong jinquan,2.3,64,real estate,china,,,,,,
1008,torbjorn tornqvist,2.3,65,oil trading,sweden,,,,,,
1008,alan trefler,2.3,63,software,united states,,,,,,
1008,tung chee hwa,2.3,82,shipping,hong kong,,,,,,
1008,wang liping,2.3,53,hydraulic machinery,china,,,,,,
1008,william young,2.3,78,plastics,united states,,,,,,
1008,yu minhong,2.3,57,education,china,,,,,,
1008,zhang fan,2.3,53,touch screens,china,,,,,,
1057,maurice alter,2.2,94,real estate,australia,,,,,,
1057,an kang,2.2,70,pharmaceuticals,china,,,,,,
1057,roberto angelini rossi,2.2,70,forestry,"mining""",chile,,,,,
1057,bang jun-hyuk,2.2,51,online gaming,south korea,,,,,,
1057,ron baron,2.2,76,money management,united states,,,,,,
1057,edward bass,2.2,73,oil,"investments""",united states,,,,,
1057,saeed bin butti al qebaisi,2.2,-,hospitals,"investments""",united arab emirates,,,,,
1057,jose and francisco jose calderon rojas,2.2,-,beverages,mexico,,,,,,
1057,cheng yixiao,2.2,-,video streaming app,china,,,,,,
1057,cho tak wong,2.2,73,auto parts,hong kong,,,,,,
1057,todd christopher,2.2,56,hair care products,united states,,,,,,
1057,jim coulter,2.2,59,private equity,united states,,,,,,
1057,jose luis cutrale,2.2,72,orange juice,brazil,,,,,,
1057,james dinan,2.2,60,hedge funds,united states,,,,,,
1057,dong wei,2.2,48,pharmaceuticals,china,,,,,,
1057,daniel ek,2.2,36,spotify,sweden,,,,,,
1057,alceu elias feldmann,2.2,70,fertilizer,brazil,,,,,,
1057,luis frias,2.2,56,mobile payments,brazil,,,,,,
1057,senapathy gopalakrishnan,2.2,64,software services,india,,,,,,
1057,alec gores,2.2,66,private equity,united states,,,,,,
1057,luciano hang,2.2,56,department stores,brazil,,,,,,
1057,carlos hank rhon,2.2,71,banking,mexico,,,,,,
1057,huang shih tsai,2.2,68,real estate,hong kong,,,,,,
1057,baba kalyani,2.2,70,engineering,india,,,,,,
1057,kim beom-su,2.2,53,online services,south korea,,,,,,
1057,willibert krueger,2.2,78,food processing,germany,,,,,,
1057,stephen lansdown,2.2,66,financial services,guernsey,,,,,,
1057,lin chen-hai,2.2,72,real estate,taiwan,,,,,,
1057,scott lin,2.2,86,optical components,taiwan,,,,,,
1057,liu ming hui,2.2,56,natural gas distribution,china,,,,,,
1057,lu xiangyang,2.2,56,automobiles,"batteries""",china,,,,,
1057,clayton mathile,2.2,78,pet food,united states,,,,,,
1057,jorge moll filho,2.2,74,hospitals,brazil,,,,,,
1057,ermirio pereira de moraes,2.2,87,diversified,brazil,,,,,,
1057,maria helena moraes scripilliti,2.2,88,diversified,brazil,,,,,,
1057,masahiro noda,2.2,80,software,japan,,,,,,
1057,florentino perez,2.2,72,construction,spain,,,,,,
1057,dmitry pumpyansky,2.2,55,steel pipes,russia,,,,,,
1057,phillip t. (terry) ragon,2.2,70,health it,united states,,,,,,
1057,krit ratanarak,2.2,73,media,"real estate""",thailand,,,,,
1057,p.v.krishna reddy,2.2,50,infrastructure,india,,,,,,
1057,nevaldo rocha,2.2,89,retail,brazil,,,,,,
1057,remo ruffini,2.2,57,winter jackets,italy,,,,,,
1057,monika schoeller,2.2,80,publishing,germany,,,,,,
1057,klaus-peter schulenberg,2.2,-,ticketing service,germany,,,,,,
1057,shen wenrong,2.2,73,steel production,china,,,,,,
1057,brian sheth,2.2,43,investments,united states,,,,,,
1057,dan snyder,2.2,54,washington redskins,united states,,,,,,
1057,harley sy,2.2,60,diversified,philippines,,,,,,
1057,henry sy,"jr""",2.2,66,diversified,philippines,,,,,
1057,teresita sy-coson,2.2,68,diversified,philippines,,,,,,
1057,katsumi tada,2.2,74,real estate,japan,,,,,,
1057,lottie tham,2.2,70,h&m,sweden,,,,,,
1057,oleg tinkov,2.2,51,banking,russia,,,,,,
1057,t.y. tsai,2.2,66,finance,taiwan,,,,,,
1057,ted turner,2.2,80,cable television,united states,,,,,,
1057,stefan von holtzbrinck,2.2,56,publishing,germany,,,,,,
1057,jon yarbrough,2.2,62,video games,united states,,,,,,
1057,charles zegar,2.2,71,bloomberg lp,united states,,,,,,
1116,mika anttonen,2.1,52,oil & gas,finland,,,,,,
1116,shyam & hari bhartia,2.1,66,diversified,india,,,,,,
1116,thor bjorgolfsson,2.1,52,investments,iceland,,,,,,
1116,anand burman,2.1,67,consumer goods,india,,,,,,
1116,chang yun chung,2.1,100,shipping,singapore,,,,,,
1116,chen hua,2.1,53,real estate,china,,,,,,
1116,chen jinxia,2.1,51,investments,china,,,,,,
1116,ben chestnut,2.1,45,email marketing,united states,,,,,,
1116,patokh chodiev,2.1,66,mining,"metals""",belgium,,,,,
1116,chu lam yiu,2.1,49,flavorings,hong kong,,,,,,
1116,james clark,2.1,75,netscape,"investments""",united states,,,,,
1116,john collison,2.1,28,payments software,ireland,,,,,,
1116,patrick collison,2.1,30,payment software,ireland,,,,,,
1116,mark coombs,2.1,58,finance,united kingdom,,,,,,
1116,aloysio de andrade faria,2.1,98,banking,brazil,,,,,,
1116,bernard fraisse,2.1,62,pharmaceuticals,france,,,,,,
1116,sameer gehlaut,2.1,45,finance,india,,,,,,
1116,gordon getty,2.1,85,getty oil,united states,,,,,,
1116,caroline hagen kjos,2.1,35,conglomerate,norway,,,,,,
1116,bahaa hariri,2.1,53,real estate,"investments""",lebanon,,,,,
1116,georg haub,2.1,57,retail,germany,,,,,,
1116,hans-werner hector,2.1,79,sap,germany,,,,,,
1116,huang zhenda,2.1,71,construction,china,,,,,,
1116,ravi jaipuria,2.1,64,soft drinks,india,,,,,,
1116,vinod khosla,2.1,64,venture capital,united states,,,,,,
1116,osman kibar,2.1,48,biotech,united states,,,,,,
1116,dan kurzius,2.1,47,email marketing,united states,,,,,,
1116,christian latouche,2.1,79,accounting services,france,,,,,,
1116,thai lee,2.1,60,it provider,united states,,,,,,
1116,liang yunchao,2.1,50,nutrition supplements,china,,,,,,
1116,lin ming-hsiung,2.1,69,supermarkets,taiwan,,,,,,
1116,liu hanyuan,2.1,55,agribusiness,china,,,,,,
1116,jeffrey lurie,2.1,67,philadelphia eagles,united states,,,,,,
1116,igor makarov,2.1,57,investments,russia,,,,,,
1116,daniel mate,2.1,56,mining,"commodities""",spain,,,,,
1116,aristotelis mistakidis,2.1,57,mining,"commodities""",greece,,,,,
1116,bobby murphy,2.1,31,snapchat,united states,,,,,,
1116,nandan nilekani,2.1,64,software services,india,,,,,,
1116,husnu ozyegin,2.1,74,finance,"diversified""",turkey,,,,,
1116,alexey repik,2.1,39,pharmaceuticals,russia,,,,,,
1116,antony ressler,2.1,57,finance,united states,,,,,,
1116,luigi rovati,2.1,90,pharmaceuticals,italy,,,,,,
1116,michael & reiner schmidt-ruthenbeck,2.1,76,retail,germany,,,,,,
1116,shen guojun,2.1,56,retail,china,,,,,,
1116,kavitark ram shriram,2.1,62,venture capital,"google""",united states,,,,,
1116,evan spiegel,2.1,29,snapchat,united states,,,,,,
1116,arvind tiku,2.1,49,oil & gas,"investments""",india,,,,,
1116,georg von opel,2.1,53,real estate,"investments""",switzerland,,,,,
1116,elaine wynn,2.1,77,casinos,"hotels""",united states,,,,,
1116,michael ying,2.1,69,retail,hong kong,,,,,,
1116,zhang xiugen,2.1,58,automobiles,china,,,,,,
1116,zhang xuansong,2.1,47,supermarkets,china,,,,,,
1168,s. daniel abraham,2,94,slim-fast,united states,,,,,,
1168,aziz akhannouch,2,58,petroleum,"diversified""",morocco,,,,,
1168,leslie alexander,2,76,sports team,united states,,,,,,
1168,herbert allen,"jr""",2,79,investment banking,united states,,,,,
1168,semahat sevim arsel,2,90,diversified,turkey,,,,,,
1168,thomas bruch,2,69,retail,germany,,,,,,
1168,nikolai buinov,2,52,oil,"gas""",russia,,,,,
1168,chen tei-fu,2,71,herbal products,taiwan,,,,,,
1168,chen yung-tai,2,83,real estate,taiwan,,,,,,
1168,kiat chiaravanont,2,-,diversified,thailand,,,,,,
1168,steve conine,2,46,online retail,united states,,,,,,
1168,dulce pugliese de godoy bueno,2,71,hospitals,"health care""",brazil,,,,,
1168,bergit douglas,2,72,consumer goods,germany,,,,,,
1168,glenn dubin,2,62,hedge funds,united states,,,,,,
1168,frank fertitta,"iii.""",2,57,"casinos, mixed martial arts",united states,,,,,
1168,lorenzo fertitta,2,50,casinos,"mixed martial arts""",united states,,,,,
1168,phillip frost,2,82,pharmaceuticals,united states,,,,,,
1168,alexandre grendene bartelle,2,69,shoes,brazil,,,,,,
1168,gu yuhua,2,69,furniture,china,,,,,,
1168,jeffrey gundlach,2,60,investments,united states,,,,,,
1168,w. herbert hunt,2,90,oil,united states,,,,,,
1168,bruce karsh,2,63,private equity,united states,,,,,,
1168,martin lau,2,46,e-commerce,hong kong,,,,,,
1168,henry laufer,2,73,hedge funds,united states,,,,,,
1168,thomas lee,2,75,private equity,united states,,,,,,
1168,li haiyan,2,-,restaurants,china,,,,,,
1168,lin chang su-o,2,78,real estate,taiwan,,,,,,
1168,lin xiucheng,2,63,electronics,china,,,,,,
1168,harald link,2,64,diversified,thailand,,,,,,
1168,lu weiding,2,48,diversified,china,,,,,,
1168,rudy ma,2,79,finance,taiwan,,,,,,
1168,howard marks,2,73,private equity,united states,,,,,,
1168,alexander nesis,2,56,metals,banking,"fertilizers""",russia,,,,
1168,alfred oetker,2,52,consumer goods,germany,,,,,,
1168,august oetker,2,75,consumer goods,germany,,,,,,
1168,carl ferdinand oetker,2,46,consumer goods,germany,,,,,,
1168,christian oetker,2,71,consumer goods,germany,,,,,,
1168,julia oetker,2,40,consumer goods,germany,,,,,,
1168,richard oetker,2,68,consumer goods,germany,,,,,,
1168,kazuo okada,2,76,casinos,japan,,,,,,
1168,nicholas pritzker,"ii.""",2,75,"hotels, investments",united states,,,,,
1168,qian dongqi,2,61,household appliances,china,,,,,,
1168,helena revoredo,2,72,security services,spain,,,,,,
1168,ferit faik sahenk,2,55,diversified,turkey,,,,,,
1168,rosely schweizer,2,79,consumer goods,germany,,,,,,
1168,niraj shah,2,45,online retail,united states,,,,,,
1168,shi yonghong,2,50,restaurants,china,,,,,,
1168,tim sweeney,2,48,video games,united states,,,,,,
1168,tang yiu,2,85,fashion retail,hong kong,,,,,,
1168,prachak tangkaravakoon,2,75,paints,thailand,,,,,,
1168,masateru uno,2,72,drugstores,japan,,,,,,
1168,wang changtian,2,54,tv,"movie production""",china,,,,,
1168,wang chaobin,2,63,real estate,china,,,,,,
1168,wang laichun,2,52,electronics components,china,,,,,,
1168,wang laisheng,2,54,electronics components,china,,,,,,
1168,wang wenbiao,2,62,natural gas,"fertilizers""",china,,,,,
1168,wang yanqing,2,53,electrical equipment,china,,,,,,
1168,wu yulan,2,49,pharmaceuticals,china,,,,,,
1168,eddie & sol zakay,2,-,real estate,united kingdom,,,,,,
1227,aras agalarov,1.9,63,real estate,russia,,,,,,
1227,albert berner,1.9,84,fasteners,germany,,,,,,
1227,ahmet calik,1.9,61,energy,banking,"construction""",turkey,,,,
1227,chan tan ching-fen,1.9,-,real estate,hong kong,,,,,,
1227,chen jianhua,1.9,48,chemicals,china,,,,,,
1227,alexandra daitch,1.9,56,cargill,united states,heavy industry,no,yes,yes,white,
1227,dermot desmond,1.9,69,finance,ireland,,,,,,
1227,mohammed dewji,1.9,44,diversified,tanzania,,,,,,
1227,abhay firodia,1.9,74,automobiles,india,,,,,,
1227,maria franca fissolo,1.9,84,nutella,"chocolates""",italy,,,,,
1227,gao dekang,1.9,67,apparel,china,,,,,,
1227,serge godin,1.9,69,information technology,canada,,,,,,
1227,sam goi,1.9,70,frozen foods,singapore,,,,,,
1227,david hains,1.9,88,investments,australia,,,,,,
1227,chang-woo han,1.9,88,pachinko parlors,japan,,,,,,
1227,william heinecke,1.9,70,hotels,thailand,,,,,,
1227,stewart horejsi,1.9,81,berkshire hathaway,united states,,,,,,
1227,stanley hubbard,1.9,86,directv,united states,,,,,,
1227,jim kavanaugh,1.9,56,it provider,united states,,,,,,
1227,mustafa rahmi koc,1.9,88,diversified,turkey,,,,,,
1227,chris larsen,1.9,59,cryptocurrency,united states,,,,,,
1227,thomas lau,1.9,65,department stores,hong kong,,,,,,
1227,william lauder,1.9,59,estee lauder,united states,cosmetics,no,yes,yes,white,
1227,lu di,1.9,-,drones,china,,,,,,
1227,sarah macmillan,1.9,65,cargill,united states,heavy industry,no,yes,yes,white,
1227,mao lixiang,1.9,78,cooking appliances,china,,,,,,
1227,kishore mariwala,1.9,84,consumer goods,india,,,,,,
1227,miao shouliang,1.9,64,real estate,china,,,,,,
1227,lachhman das mittal,1.9,88,tractors,india,,,,,,
1227,farhad moshiri,1.9,64,diversified,united kingdom,,,,,,
1227,david murdock,1.9,96,dole,"real estate""",united states,,,,,
1227,nan cunhui,1.9,56,power equipment,china,,,,,,
1227,vikas oberoi,1.9,48,real estate,india,,,,,,
1227,ranjan pai,1.9,46,education,india,,,,,,
1227,kevin plank,1.9,46,under armour,united states,,,,,,
1227,jennifer pritzker,1.9,68,hotels,"investments""",united states,,,,,
1227,linda pritzker,1.9,65,hotels,"investments""",united states,,,,,
1227,larry robbins,1.9,49,hedge funds,united states,,,,,,
1227,rodney sacks,1.9,69,energy drinks,united states,,,,,,
1227,filiz sahenk,1.9,52,diversified,turkey,,,,,,
1227,jean salata,1.9,53,finance,chile,,,,,,
1227,karl scheufele,"iii.""",1.9,80,jewelry,switzerland,,,,,
1227,hilton schlosberg,1.9,66,energy drinks,united kingdom,,,,,,
1227,lucy stitzer,1.9,59,cargill,united states,heavy industry,no,yes,yes,white,
1227,william stone,1.9,64,software,united states,,,,,,
1227,konstantin strukov,1.9,60,gold,"coal mining""",russia,,,,,
1227,su suyu,1.9,70,utilities,"real estate""",china,,,,,
1227,elizabeth sy,1.9,67,diversified,philippines,,,,,,
1227,katherine tanner,1.9,63,cargill,united states,heavy industry,no,yes,yes,white,
1227,alain taravella,1.9,71,real estate,france,,,,,,
1227,leena tewari,1.9,61,pharmaceuticals,india,,,,,,
1227,john tyson,1.9,65,food processing,united states,,,,,,
1227,amy wyss,1.9,48,medical equipment,united states,,,,,,
1227,david zalik,1.9,45,financial technology,united states,,,,,,
1281,melih abdulhayoglu,1.8,51,internet security,turkey,,,,,,
1281,joao alves de queiroz filho,1.8,66,pharmaceuticals,brazil,,,,,,
1281,carol jenkins barnett,1.8,62,publix supermarkets,united states,retail,,,,,
1281,othman benjelloun,1.8,86,banking,"insurance""",morocco,,,,,
1281,william berkley,1.8,72,insurance,united states,,,,,,
1281,jaime botin,1.8,83,banking,spain,,,,,,
1281,julio bozano,1.8,83,banking,brazil,,,,,,
1281,chen kaixuan,1.8,61,household chemicals,china,,,,,,
1281,vivien chen,1.8,60,real estate,hong kong,,,,,,
1281,chin jong hwa,1.8,61,auto parts,taiwan,,,,,,
1281,christopher cline,1.8,61,coal,united states,,,,,,
