2018_rank,name,2018_net_worth,age,2018_source,2018_country,2018_industry,founder,some_wealth_inheritance,major_wealth_inheritance,ethnicity,misc
203,christy walton,7.2,70,walmart,united states,retail,no,yes,yes,white,
203,yao zhenhua,7.2,49,conglomerate,china,,,,,,
207,frederik paulsen,7.1,68,health care,sweden,,,,,,
207,anthony pratt,7.1,59,manufacturing,australia,,,,,,
209,david green,7,77,retail,united states,retail,yes,no,no,white,
209,james irving,7,91,diversified,canada,,,,,,
209,tom love,7,82,retail & gas stations,united states,retail,yes,no,no,white,
209,david shaw,7,68,hedge funds,united states,finance,no,no,no,white,jewish
209,patrick soon-shiong,7,66,pharmaceuticals,united states,healthcare,yes,no,no,asian,
209,nusli wadia,7,75,consumer goods,india,,,,,,
215,mike cannon-brookes,6.9,39,software,australia,,,,,,
215,john doerr,6.9,68,venture capital,united states,investment,no,no,no,white,
215,scott farquhar,6.9,39,software,australia,,,,,,
215,john grayken,6.9,63,private equity,ireland,,,,,,
215,pauline macmillan keinath,6.9,85,cargill,united states,heavy industry,no,yes,yes,white,
215,ralph lauren,6.9,79,ralph lauren,united states,fashion,yes,no,no,white,
215,jay y. lee,6.9,51,samsung,south korea,,,,,,
215,michael otto,6.9,76,retail,real estate,germany,,,,,
215,robert pera,6.9,41,wireless networking gear,united states,computers,yes,no,no,white,
224,jerry jones,6.8,76,dallas cowboys,united states,sports,no,yes,no,white,
224,shahid khan,6.8,69,auto parts,united states,auto,yes,no,no,south asian,
224,friedhelm loh,6.8,72,manufacturing,germany,,,,,,
224,hank & doug meijer,6.8,67,supermarkets,united states,retail,no,yes,yes,white,
224,dmitry rybolovlev,6.8,52,fertilizer,russia,,,,,,
224,melker schorling,6.8,72,investments,sweden,,,,,,
224,robin zeng,6.8,50,batteries,hong kong,,,,,,
224,zhang jindong,6.8,56,appliance retailer,china,,,,,,
224,zhang yong,6.8,49,restaurants,singapore,,,,,,
233,eli broad,6.7,86,investments,united states,investment,yes,no,no,white,jewish
233,francis choi,6.7,71,real estate,hong kong,,,,,,
233,daniel gilbert,6.7,57,quicken loans,united states,finance,yes,no,no,white,jewish
233,eva gonda de rivera,6.7,-,beverages,mexico,,,,,,
233,guo guangchang,6.7,52,conglomerate,china,,,,,,
233,teh hong piow,6.7,89,banking,malaysia,,,,,,
239,marc benioff,6.6,54,business software,united states,software,yes,no,no,white,jewish
239,kei hoi pang,6.6,53,real estate,china,,,,,,
239,richard kinder,6.6,74,pipelines,united states,heavy industry,yes,no,no,white,
239,iskander makhmudov,6.6,55,mining,metals,machinery,russia,,,,
239,pham nhat vuong,6.6,50,diversified,vietnam,,,,,,
244,denise coates,6.5,51,online gambling,united kingdom,,,,,,
244,kim jung-ju,6.5,51,online games,south korea,,,,,,
244,robert kraft,6.5,78,new england patriots,united states,sports,yes,yes,no,white,jewish
244,ann walton kroenke,6.5,70,walmart,united states,retail,no,yes,yes,white,
244,frank lowy,6.5,88,shopping malls,australia,,,,,,
244,sunil mittal,6.5,61,telecom,india,,,,,,
244,augusto & giorgio perfetti,6.5,-,candy,italy,,,,,,
244,john a. sobrato,6.5,80,real estate,united states,real estate,no,no,no,white,jewish
252,leon black,6.4,67,private equity,united states,investment,yes,no,no,white,jewish
252,israel englander,6.4,70,hedge funds,united states,investment,no,no,no,white,jewish
252,anders holch povlsen,6.4,46,fashion retail,denmark,,,,,,
252,nassef sawiris,6.4,58,construction,chemicals,egypt,,,,,
252,andreas von bechtolsheim,6.4,63,google,germany,,,,,,
257,silvio berlusconi,6.3,82,media,italy,,,,,,
257,terry gou,6.3,68,electronics,taiwan,,,,,,
257,diane hendricks,6.3,72,roofing,united states,home goods,no,yes,yes,white,
257,suleiman kerimov,6.3,53,investments,russia,,,,,,
261,alexander abramov,6.2,60,steel,mining,russia,,,,,
261,james chambers,6.2,62,media,automotive,united states,television,no,yes,yes,white
261,ananda krishnan,6.2,81,telecoms,media,oil-services,malaysia,,,,
261,ian & richard livingstone,6.2,-,real estate,united kingdom,,,,,,
261,katharine rayner,6.2,74,media,automotive,united states,television,no,yes,yes,white
261,margaretta taylor,6.2,77,media,automotive,united states,television,no,yes,yes,white
267,sandra ortega mera,6.1,51,zara,spain,,,,,,
267,john overdeck,6.1,49,hedge funds,united states,investment,no,no,no,white,
267,odd reitan,6.1,67,retail,real estate,norway,,,,,
267,david siegel,6.1,58,hedge funds,united states,real estate,yes,no,no,white,jewish
267,wee cho yaw,6.1,90,banking,singapore,,,,,,
272,rinat akhmetov,6,52,steel,coal,ukraine,,,,,
272,bubba cathy,6,65,chick-fil-a,united states,restaurant,no,yes,yes,white,
272,dan cathy,6,66,chick-fil-a,united states,restaurant,no,yes,yes,white,
272,laurent dassault,6,66,diversified,france,,,,,,
272,olivier dassault,6,68,diversified,france,,,,,,
272,thierry dassault,6,62,diversified,france,,,,,,
